"Part","Description","ClassID","Costing Method","Qty On Hand","Last Labor","Last Material","Last Burden","Last Subcontract","LastUnit","LastExtend","Avg. Labor","Avg. Material","Avg. Burden","Avg. Subcontract","AvgUnit","AvgExtend","Std. Labor","Std. Burden","Std. Material","Std. Subcontract","Std. Material Burden","STDUnit","StdExtended","Type"
"0101-1.750 USA","1.750"" Round ANSI 4140, Per ASTM A193, Grade B7 Material Must Be Made in USA","RAW","S",0.00,0.00000,16.44170,0.00000,0.00000,16.442,0.000,0.00000,16.44170,0.00000,0.00000,16.442,0.000,0.00000,0.00000,16.44170,0.00000,3.28830,19.73,0.00,"P"
"01-0110","Variable Focus Headlamp","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,340.00000,0.00000,340.00000,0.00000,0.00000,680.00,0.00,"M"
"01-0110","Variable Focus Headlamp","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,340.00000,0.00000,340.00000,0.00000,0.00000,680.00,0.00,"M"
"0101-2-C","2."" Round 4140","RAW","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,11.82000,0.00000,0.00000,11.820,0.000,0.00000,0.00000,11.82000,0.00000,2.36400,14.18,0.00,"P"
"0101-5.5 CR","12L14 Cold Rolled ASTM A108 Round steel","RAW","S",0.00,0.00000,96.77420,0.00000,0.00000,96.774,0.000,0.00000,96.77420,0.00000,0.00000,96.774,0.000,0.00000,0.00000,96.77420,0.00000,0.00000,96.77,0.00,"P"
"0102-1.0-1.25","1018 Steel Bar - 1.0"" x 1.25""","RAW","S",9.91,0.00000,19.72000,0.00000,0.00000,19.720,0.000,0.00000,19.72000,0.00000,0.00000,19.720,0.000,0.00000,0.00000,19.72000,0.00000,0.00000,19.72,195.43,"P"
"0102-1-2","1"" X 2"" - 1018 or 1020 Steel Bar","RAW","S",0.00,0.00000,9.70000,0.00000,0.00000,9.700,0.000,0.00000,9.70000,0.00000,0.00000,9.700,0.000,0.00000,0.00000,9.70000,0.00000,0.00000,9.70,0.00,"P"
"01-0350","Quick-On Fiber Optic Cable, 3.5mm dia., 90""in long","FIN","S",0.00,6.56800,128.49800,5.70200,0.00000,140.768,0.000,6.56800,128.49800,5.70200,0.00000,140.768,0.000,6.56800,5.70200,128.49800,0.00000,0.00000,140.77,0.00,"M"
"01-0350","Quick-On Fiber Optic Cable, 3.5mm dia., 90""in long","FIN","S",0.00,6.56800,128.49800,5.70200,0.00000,140.768,0.000,6.56800,128.49800,5.70200,0.00000,140.768,0.000,6.56800,5.70200,128.49800,0.00000,0.00000,140.77,0.00,"M"
"01-0350-10","Quick-On Fiber Optic Cable, 3.5mm dia., 120in. length","FIN","S",0.00,5.38830,109.85110,12.36610,0.00000,127.606,0.000,5.38830,109.85110,12.36610,0.00000,127.606,0.000,5.38830,12.36610,109.85110,0.00000,0.00000,127.61,0.00,"M"
"01-0350-10","Quick-On Fiber Optic Cable, 3.5mm dia., 120in. length","FIN","S",0.00,5.38830,109.85110,12.36610,0.00000,127.606,0.000,5.38830,109.85110,12.36610,0.00000,127.606,0.000,5.38830,12.36610,109.85110,0.00000,0.00000,127.61,0.00,"M"
"01-0350-A-S","QUICK-ON FIBER OPTIC CABLE, 3.5MM DIAMETER, 90in. LENGTH, ACMI LIGHT SOURCE END, STORZ INSTRUMENT","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"01-0350-A-S","QUICK-ON FIBER OPTIC CABLE, 3.5MM DIAMETER, 90in. LENGTH, ACMI LIGHT SOURCE END, STORZ INSTRUMENT","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"01-0500","Quick-On Fiber Optic Cable, 5.0mm dia., 90in. long","FIN","S",0.00,10.62330,6.24750,137.55920,0.00000,154.430,0.000,10.62330,6.24750,137.55920,0.00000,154.430,0.000,10.62330,137.55920,6.24750,0.00000,0.00000,154.43,0.00,"M"
"01-0500","Quick-On Fiber Optic Cable, 5.0mm dia., 90in. long","FIN","S",0.00,10.62330,6.24750,137.55920,0.00000,154.430,0.000,10.62330,6.24750,137.55920,0.00000,154.430,0.000,10.62330,137.55920,6.24750,0.00000,0.00000,154.43,0.00,"M"
"01-0500-10","Quick-On Fiber Optic Cable, 5.0mm dia., 10in. length","FIN","S",0.00,2.58400,149.38000,0.00000,0.00000,151.964,0.000,2.47650,92.06400,0.82950,0.00000,95.370,0.000,2.58400,0.00000,149.38000,0.00000,0.00000,151.96,0.00,"M"
"01-0500-10","Quick-On Fiber Optic Cable, 5.0mm dia., 10in. length","FIN","S",8.00,2.58400,149.38000,0.00000,0.00000,151.964,0.000,2.47650,92.06400,0.82950,0.00000,95.370,0.000,2.58400,0.00000,149.38000,0.00000,0.00000,151.96,1,215.71,"M"
"0105-0074","Aston Submental Retractor Custom","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0105-0074","Aston Submental Retractor Custom","FIN","S",0.00,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.000,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106753-411","Hub Body - alum","FIN","A",1.00,0.00000,0.00000,495.00000,0.00000,495.000,0.000,0.00000,0.00000,495.00000,0.00000,495.000,495.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106753-511","Hub Body - alum","FIN","A",3.00,0.00000,0.00000,43.48000,0.00000,43.480,0.000,0.00000,0.00000,43.48000,0.00000,43.480,130.440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106753-611","Hub Body - alum","FIN","A",3.00,0.00000,0.00000,124.41000,0.00000,124.410,0.000,0.00000,0.00000,124.41000,0.00000,124.410,373.230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106753-701","Hub Body - Aluminum","FIN","A",1.00,0.00000,0.00000,155.68000,0.00000,155.680,0.000,0.00000,0.00000,155.68000,0.00000,155.680,155.680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106754-411","Compound Chamber - Alum.","FIN","A",3.00,0.00000,0.00000,19.22000,0.00000,19.220,0.000,0.00000,0.00000,19.22000,0.00000,19.220,57.660,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106754-412","Compound Chamber - SST","FIN","A",4.00,0.00000,0.00000,65.36000,0.00000,65.360,0.000,0.00000,0.00000,65.36000,0.00000,65.360,261.440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106754-511","Compound Chamber - Alum.","FIN","A",1.00,0.00000,0.00000,41.47000,0.00000,41.470,0.000,0.00000,0.00000,41.47000,0.00000,41.470,41.470,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106754-611","Compound Chamber - alum","FIN","A",4.00,0.00000,0.00000,21.38000,0.00000,21.380,0.000,0.00000,0.00000,21.38000,0.00000,21.380,85.520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106755-51","Union Body - SST","FIN","A",2.00,0.00000,0.00000,91.40000,0.00000,91.400,0.000,0.00000,0.00000,91.40000,0.00000,91.400,182.800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106755-61","Union Body - alum","FIN","A",1.00,0.00000,0.00000,180.00000,0.00000,180.000,0.000,0.00000,0.00000,180.00000,0.00000,180.000,180.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106755-80","Union Body - alum","FIN","A",10.00,0.00000,0.00000,49.76000,0.00000,49.760,0.000,0.00000,0.00000,49.76000,0.00000,49.760,497.600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106756-41","TMCX Union Nut - SST 12519383","FIN","A",2.00,0.00000,0.00000,49.96000,0.00000,49.960,0.000,0.00000,0.00000,49.96000,0.00000,49.960,99.920,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106756-42","Union Nut -Brass","FIN","A",0.00,2.03870,0.00000,17.62540,9.35000,29.014,0.000,2.03870,0.00000,17.62540,9.35000,29.014,0.000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
"0106756-61","TMCX UNION NUT","FIN","A",1.00,0.00000,0.00000,152.09000,0.00000,152.090,0.000,0.00000,0.00000,152.09000,0.00000,152.090,152.090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00,0.00,"M"
