"Job","PO","Name","Line","Description","Part Num","Supplier Qty","Promise Date","Due Date","UOM","Supplier UOM","Buyer ID","CommentText"
"",706133,"Package Design & Supply Acquisition Inc.",2,"Stretch Wrap - Blown, 60 gauge, 18"" x 1,500'  - 4 ROLLS/CASE","ST18-1848MXP - S-5294",2.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706133,"Package Design & Supply Acquisition Inc.",3,"12X12 5.3 32 ECT B PART (2 units per)","CTN 12X12X6 32 ECT  - 9-CAV-LG",100.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706133,"Package Design & Supply Acquisition Inc.",4,"3x3.5 Self Seal Bubble Pouch 1000/case","3x3.5 Self Seal Bubble Pouch",1.00,,5/20/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",5.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",5.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",10.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",5.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706186,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",15.00,,5/12/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706187,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,12/16/2025 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",4,"INNER DOOR SCREEN","TS1260-01",3.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",5,"ALIGNMENT PIN","TS7003",6.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",6,"OUTER DOOR ASSEMBLY","TS1270",3.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",7,"LATCH POST ASSY, LH","TS7004LH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706188,"Weco Manufacturing",8,"LATCH POST ASSY, RH","TS7004RH",9.00,,1/13/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",1,"CONTAINER BODY","TS1240",3.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",2,"LATCH ASSY, LH","TS7005LH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
"",706189,"Weco Manufacturing",3,"LATCH ASSY, RH","TS7005RH",9.00,,2/17/2026 12:00:00 AM,"EA","EA","agarcia",""
